epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14667.9,2.06959,1.5452,0.00274,0.55335,0.55894,0.51772,0.28435,1.91257,1.55072,0.00276,0.000336392,0.000336392,0.000336392
43,15011.6,2.04207,1.49948,0.00274,0.53787,0.5526,0.51327,0.28617,1.91366,1.5368,0.00281,0.000305872,0.000305872,0.000305872
44,12061.1436,2.042116,1.501142,0.00273,0.540306,0.55357,0.515254,0.287066,1.90795,1.530548,0.0028,0.000279083,0.000279083,0.000279083
45,9110.6872,2.042162,1.502804,0.00272,0.542742,0.55454,0.517238,0.287962,1.90224,1.524296,0.00279,0.000252294,0.000252294,0.000252294
46,6160.2308,2.042208,1.504466,0.00271,0.545178,0.55551,0.519222,0.288858,1.89653,1.518044,0.00278,0.000225505,0.000225505,0.000225505
47,3209.7744,2.042254,1.506128,0.0027,0.547614,0.55648,0.521206,0.289754,1.89082,1.511792,0.00277,0.000198716,0.000198716,0.000198716
48,259.318,2.0423,1.50779,0.00269,0.55005,0.55745,0.52319,0.29065,1.88511,1.50554,0.00276,0.000171927,0.000171927,0.000171927
49,511.022,2.02246,1.45732,0.00268,0.55966,0.56989,0.52809,0.29242,1.88795,1.48222,0.00277,0.000149383,0.000149383,0.000149383
50,927.149,2.00484,1.45489,0.00268,0.56641,0.56406,0.53307,0.2951,1.88578,1.50692,0.00271,0.000128407,0.000128407,0.000128407
51,1194.87,1.99772,1.42171,0.00263,0.55365,0.56886,0.52966,0.29328,1.89011,1.51146,0.00271,0.000109058,0.000109058,0.000109058
52,1442.75,1.97094,1.42448,0.0027,0.56856,0.5796,0.53139,0.29483,1.89098,1.49995,0.00276,9.14E-05,9.14E-05,9.14E-05
53,1726.66,2.00253,1.43158,0.00266,0.57104,0.57187,0.53252,0.2946,1.88616,1.47149,0.00276,7.54E-05,7.54E-05,7.54E-05
54,1988.44,2.00162,1.44638,0.00265,0.57262,0.57794,0.53483,0.29493,1.89127,1.46175,0.00276,6.13E-05,6.13E-05,6.13E-05
55,2238.7,1.97806,1.40889,0.00266,0.57377,0.57494,0.53535,0.29568,1.8738,1.47831,0.00277,4.89E-05,4.89E-05,4.89E-05
56,2489.69,1.98693,1.41842,0.00266,0.57359,0.57773,0.53958,0.29897,1.87407,1.43847,0.00275,3.84E-05,3.84E-05,3.84E-05
57,2742.78,2.01898,1.42596,0.00259,0.57231,0.57961,0.53624,0.29642,1.88398,1.46801,0.0027,2.97E-05,2.97E-05,2.97E-05
58,2996.81,2.00014,1.42673,0.00262,0.56479,0.58068,0.53616,0.29671,1.88323,1.48168,0.00274,2.30E-05,2.30E-05,2.30E-05
59,3251.72,1.98355,1.41711,0.00265,0.56405,0.58086,0.53622,0.29741,1.87929,1.47073,0.0027,1.82E-05,1.82E-05,1.82E-05
60,3521.62,1.98124,1.4083,0.00266,0.57634,0.57474,0.53909,0.29797,1.8796,1.47395,0.00274,1.53E-05,1.53E-05,1.53E-05
